"","OBJECTID","TAG","LU_NSWCode","LU_NSWMajo","LU_NSWDeta","LU_SCALDCo","LU_ALUM4Co","LU_ALUM5Co","LU_ALUM6Co","LU_ALUMMaj","LU_ALUMDet","Source","SourceScal","SourceDate","Reliabilit","LU_Mapping","Shape_Leng","Shape_Area","LU_ALUM7Co","LandUse"
"61",363452,"11","11","Tree & Shrub Cover","Native forest - regeneration","g6j","1.3.4","1.3.4","3.6.3","Land in transition","Land under rehabilitation","air photo","1:25,000",2001-11-01,3,NA,0.04320609024,4.781471e-05,"3.6.3",36
"62",84234,"170","170","Grazing","Grazing - Residual strips (block or linear feature) of native grassland within cultivated paddock. Strips contain scattered to isolated trees only","c2a","2.1.0","2.1.0","2.1.0","Grazing native vegetation","Grazing native vegetation","air photo","1:50,000",2003-07-29,3,2004-10-18,0.0090173442,4.90973e-06,"2.1.0",21
"63",55492,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01766753168,1.557789e-05,"5.4.5",15
"64",39068,"11","11","Tree & Shrub Cover","Native forest - regeneration","g6j","1.3.4","1.3.4","3.6.3","Land in transition","Land under rehabilitation","air photo","1:50,000",2003-05-11,3,NA,0.0183011634,8.29178e-06,"3.6.3",36
"65",84235,"170","170","Grazing","Grazing - Residual strips (block or linear feature) of native grassland within cultivated paddock. Strips contain scattered to isolated trees only","c2a","2.1.0","2.1.0","2.1.0","Grazing native vegetation","Grazing native vegetation","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00495974442,1.34116e-06,"2.1.0",21
"66",55493,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01231652208,7.29511e-06,"5.4.5",15
"67",55494,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01798240148,1.398506e-05,"5.4.5",15
"68",32911,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.13014919231,0.00056470501,"3.3.0",6
"69",295704,"4","4","Grazing","Volunteer, naturalised, native or improved pastures","c2b","3.3.1","3.2.1","3.2.1","Grazing modified pastures","Native/exotic pasture mosaic","air photo","1:50,000",2003-07-19,3,NA,0.10923537831,0.00010836127,"3.2.1",53
"70",55495,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-05-11,3,NA,0.0057733958,2.20092e-06,"5.4.5",15
"71",32912,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.09743725024,0.0002909348,"3.3.0",6
"72",205364,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00259342237,5.0427e-07,"6.2.0",14
"73",39072,"11","11","Tree & Shrub Cover","Native forest - regeneration","g6j","1.3.4","1.3.4","3.6.3","Land in transition","Land under rehabilitation","air photo","1:50,000",2003-05-11,3,NA,0.001592396,1.908e-07,"3.6.3",36
"74",205367,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00564117496,1.71381e-06,"6.2.0",14
"75",55499,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.02239284989,2.10872e-05,"5.4.5",15
"76",205370,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00392164753,9.532e-07,"6.2.0",14
"77",55502,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00475961896,1.41414e-06,"5.4.5",15
"78",32920,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.02989452956,4.072932e-05,"3.3.0",6
"79",361412,"4","4","Grazing","Volunteer, naturalised, native or improved pastures","c2b","3.3.1","3.2.1","3.2.1","Grazing modified pastures","Native/exotic pasture mosaic","air photo","1:25,000",2001-11-01,3,NA,0.0336004137,1.763809e-05,"3.2.1",53
"80",45240,"129I","129I","Cropping","Cotton - irrigated","a0c","4.4.6","4.3.6","4.3.6","Irrigated cropping","Irrigated cotton","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,1.41635528345,0.01025363371,"4.3.6",5
"81",121202,"24","24","Tree & Shrub Cover","Windbreak or tree corridor","g6c","3.2.2","3.1.4","3.1.4","Plantation forestry","Environmental forest plantation","air photo","1:50,000",2003-05-11,3,NA,0.0759432469,1.498006e-05,"3.1.4",61
"82",32923,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.07668817342,0.000100195,"3.3.0",6
"83",205375,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00239414658,4.2678e-07,"6.2.0",14
"84",121203,"24","24","Tree & Shrub Cover","Windbreak or tree corridor","g6c","3.2.2","3.1.4","3.1.4","Plantation forestry","Environmental forest plantation","air photo","1:50,000",2003-05-11,3,NA,0.00296314214,1.2499e-07,"3.1.4",61
"85",32924,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.08669607685,0.00024973961,"3.3.0",6
"86",121204,"24","24","Tree & Shrub Cover","Windbreak or tree corridor","g6c","3.2.2","3.1.4","3.1.4","Plantation forestry","Environmental forest plantation","air photo","1:50,000",2003-05-11,3,NA,0.0192407562,3.0771e-06,"3.1.4",61
"87",55509,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.0065908436,2.6745e-06,"5.4.5",15
"88",32926,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.02461452353,3.242874e-05,"3.3.0",6
"89",205378,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00269817291,5.3669e-07,"6.2.0",14
"90",121206,"24","24","Tree & Shrub Cover","Windbreak or tree corridor","g6c","3.2.2","3.1.4","3.1.4","Plantation forestry","Environmental forest plantation","air photo","1:50,000",2003-07-29,3,2004-10-18,0.0603339347,1.462623e-05,"3.1.4",61
"91",369631,"4R","4R","Grazing","Volunteer, naturalised, native or improved pastures - with more than 30% of ground area having regeneration of native tree species","c2b","3.3.1","3.2.1","3.2.1","Grazing modified pastures","Native/exotic pasture mosaic","air photo","1:25,000",2001-11-01,3,NA,0.04330107894,4.684438e-05,"3.2.1",56
"92",121207,"24","24","Tree & Shrub Cover","Windbreak or tree corridor","g6c","3.2.2","3.1.4","3.1.4","Plantation forestry","Environmental forest plantation","air photo","1:50,000",2003-07-29,3,2004-10-18,0.0183563239,5.43504e-06,"3.1.4",61
"93",55511,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2001-08-15,3,2006-09-28,0.00450661781,1.30754e-06,"5.4.5",15
"94",32928,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","air photo","1:50,000",2003-05-11,3,NA,0.0690327966,0.00012434547,"3.3.0",6
"95",121208,"24","24","Tree & Shrub Cover","Windbreak or tree corridor","g6c","3.2.2","3.1.4","3.1.4","Plantation forestry","Environmental forest plantation","air photo","1:50,000",2003-07-29,3,2004-10-18,0.13575490265,4.873656e-05,"3.1.4",61
"96",121210,"24","24","Tree & Shrub Cover","Windbreak or tree corridor","g6c","3.2.2","3.1.4","3.1.4","Plantation forestry","Environmental forest plantation","air photo","1:50,000",2003-07-29,3,2004-10-18,0.02749081004,9.30607e-06,"3.1.4",61
"97",55514,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2001-08-15,3,2004-09-13,0.00720836494,2.83061e-06,"5.4.5",15
"98",32931,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.01019918637,5.06668e-06,"3.3.0",6
"99",205384,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00697160009,2.654e-06,"6.2.0",14
"100",365529,"4","4","Grazing","Volunteer, naturalised, native or improved pastures","c2b","3.3.1","3.2.1","3.2.1","Grazing modified pastures","Native/exotic pasture mosaic","air photo","1:25,000",2001-11-01,3,NA,0.01633057793,8.49938e-06,"3.2.1",53
"101",121213,"24","24","Tree & Shrub Cover","Windbreak or tree corridor","g6c","3.2.2","3.1.4","3.1.4","Plantation forestry","Environmental forest plantation","air photo","1:50,000",2003-07-29,3,2004-10-18,0.0304627067,5.32209e-06,"3.1.4",61
"102",45252,"129I","129I","Cropping","Cotton - irrigated","a0c","4.4.6","4.3.6","4.3.6","Irrigated cropping","Irrigated cotton","air photo","1:50,000",2003-05-11,3,NA,0.03521685488,7.757802e-05,"4.3.6",5
"103",32936,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.0279284554,4.871218e-05,"3.3.0",6
"104",59627,"168","168","Grazing","Grazing of native vegetation. Grazing of domestic stock on essentially unmodified native vegetation","c2a","2.1.0","2.1.0","2.1.0","Grazing native vegetation","Grazing native vegetation","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01312716751,7.89025e-06,"2.1.0",22
"105",32938,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","air photo","1:50,000",2003-05-11,3,NA,0.11205957899,0.00021784827,"3.3.0",6
"106",369642,"4R","4R","Grazing","Volunteer, naturalised, native or improved pastures - with more than 30% of ground area having regeneration of native tree species","c2b","3.3.1","3.2.1","3.2.1","Grazing modified pastures","Native/exotic pasture mosaic","air photo","1:25,000",2001-11-01,3,NA,0.01628523765,7.00525e-06,"3.2.1",56
